trial,distance_m,contrast_percent,bit_rate_bps,interference,signal_amplitude,noise_sigma,signal_to_noise_ratio,total_bits,bit_errors,bit_error_rate,packet_recovered,visibility_band
3,0.5,1.0,10.0,high,4.0,0.28284271247461906,14.142135623730947,48,0,0.0,True,very-low-contrast
4,0.5,1.0,10.0,high,4.0,0.28284271247461906,14.142135623730947,48,0,0.0,True,very-low-contrast
5,0.5,1.0,10.0,high,4.0,0.28284271247461906,14.142135623730947,48,0,0.0,True,very-low-contrast
6,0.5,1.0,10.0,high,4.0,0.28284271247461906,14.142135623730947,48,0,0.0,True,very-low-contrast
7,0.5,1.0,10.0,high,4.0,0.28284271247461906,14.142135623730947,48,0,0.0,True,very-low-contrast
8,0.5,1.0,10.0,high,4.0,0.28284271247461906,14.142135623730947,48,0,0.0,True,very-low-contrast
9,0.5,1.0,10.0,high,4.0,0.28284271247461906,14.142135623730947,48,0,0.0,True,very-low-contrast
10,0.5,1.0,10.0,high,4.0,0.28284271247461906,14.142135623730947,48,0,0.0,True,very-low-contrast
1,0.5,3.0,1.0,quiet,12.0,0.01788854381999832,670.8203932499368,48,0,0.0,True,low-contrast
2,0.5,3.0,1.0,quiet,12.0,0.01788854381999832,670.8203932499368,48,0,0.0,True,low-contrast
3,0.5,3.0,1.0,quiet,12.0,0.01788854381999832,670.8203932499368,48,0,0.0,True,low-contrast
4,0.5,3.0,1.0,quiet,12.0,0.01788854381999832,670.8203932499368,48,0,0.0,True,low-contrast
5,0.5,3.0,1.0,quiet,12.0,0.01788854381999832,670.8203932499368,48,0,0.0,True,low-contrast
6,0.5,3.0,1.0,quiet,12.0,0.01788854381999832,670.8203932499368,48,0,0.0,True,low-contrast
7,0.5,3.0,1.0,quiet,12.0,0.01788854381999832,670.8203932499368,48,0,0.0,True,low-contrast
8,0.5,3.0,1.0,quiet,12.0,0.01788854381999832,670.8203932499368,48,0,0.0,True,low-contrast
9,0.5,3.0,1.0,quiet,12.0,0.01788854381999832,670.8203932499368,48,0,0.0,True,low-contrast
10,0.5,3.0,1.0,quiet,12.0,0.01788854381999832,670.8203932499368,48,0,0.0,True,low-contrast
1,0.5,3.0,1.0,moderate,12.0,0.044721359549995794,268.32815729997475,48,0,0.0,True,low-contrast
2,0.5,3.0,1.0,moderate,12.0,0.044721359549995794,268.32815729997475,48,0,0.0,True,low-contrast
3,0.5,3.0,1.0,moderate,12.0,0.044721359549995794,268.32815729997475,48,0,0.0,True,low-contrast
4,0.5,3.0,1.0,moderate,12.0,0.044721359549995794,268.32815729997475,48,0,0.0,True,low-contrast
5,0.5,3.0,1.0,moderate,12.0,0.044721359549995794,268.32815729997475,48,0,0.0,True,low-contrast
6,0.5,3.0,1.0,moderate,12.0,0.044721359549995794,268.32815729997475,48,0,0.0,True,low-contrast
7,0.5,3.0,1.0,moderate,12.0,0.044721359549995794,268.32815729997475,48,0,0.0,True,low-contrast
8,0.5,3.0,1.0,moderate,12.0,0.044721359549995794,268.32815729997475,48,0,0.0,True,low-contrast
9,0.5,3.0,1.0,moderate,12.0,0.044721359549995794,268.32815729997475,48,0,0.0,True,low-contrast
10,0.5,3.0,1.0,moderate,12.0,0.044721359549995794,268.32815729997475,48,0,0.0,True,low-contrast
1,0.5,3.0,1.0,high,12.0,0.08944271909999159,134.16407864998737,48,0,0.0,True,low-contrast
2,0.5,3.0,1.0,high,12.0,0.08944271909999159,134.16407864998737,48,0,0.0,True,low-contrast
3,0.5,3.0,1.0,high,12.0,0.08944271909999159,134.16407864998737,48,0,0.0,True,low-contrast
4,0.5,3.0,1.0,high,12.0,0.08944271909999159,134.16407864998737,48,0,0.0,True,low-contrast
5,0.5,3.0,1.0,high,12.0,0.08944271909999159,134.16407864998737,48,0,0.0,True,low-contrast
6,0.5,3.0,1.0,high,12.0,0.08944271909999159,134.16407864998737,48,0,0.0,True,low-contrast
7,0.5,3.0,1.0,high,12.0,0.08944271909999159,134.16407864998737,48,0,0.0,True,low-contrast
8,0.5,3.0,1.0,high,12.0,0.08944271909999159,134.16407864998737,48,0,0.0,True,low-contrast
9,0.5,3.0,1.0,high,12.0,0.08944271909999159,134.16407864998737,48,0,0.0,True,low-contrast
10,0.5,3.0,1.0,high,12.0,0.08944271909999159,134.16407864998737,48,0,0.0,True,low-contrast
1,0.5,3.0,5.0,quiet,12.0,0.04,300.0,48,0,0.0,True,low-contrast
2,0.5,3.0,5.0,quiet,12.0,0.04,300.0,48,0,0.0,True,low-contrast
3,0.5,3.0,5.0,quiet,12.0,0.04,300.0,48,0,0.0,True,low-contrast
4,0.5,3.0,5.0,quiet,12.0,0.04,300.0,48,0,0.0,True,low-contrast
5,0.5,3.0,5.0,quiet,12.0,0.04,300.0,48,0,0.0,True,low-contrast
6,0.5,3.0,5.0,quiet,12.0,0.04,300.0,48,0,0.0,True,low-contrast
7,0.5,3.0,5.0,quiet,12.0,0.04,300.0,48,0,0.0,True,low-contrast
8,0.5,3.0,5.0,quiet,12.0,0.04,300.0,48,0,0.0,True,low-contrast
9,0.5,3.0,5.0,quiet,12.0,0.04,300.0,48,0,0.0,True,low-contrast
10,0.5,3.0,5.0,quiet,12.0,0.04,300.0,48,0,0.0,True,low-contrast
1,0.5,3.0,5.0,moderate,12.0,0.1,120.0,48,0,0.0,True,low-contrast
2,0.5,3.0,5.0,moderate,12.0,0.1,120.0,48,0,0.0,True,low-contrast
3,0.5,3.0,5.0,moderate,12.0,0.1,120.0,48,0,0.0,True,low-contrast
4,0.5,3.0,5.0,moderate,12.0,0.1,120.0,48,0,0.0,True,low-contrast
5,0.5,3.0,5.0,moderate,12.0,0.1,120.0,48,0,0.0,True,low-contrast
6,0.5,3.0,5.0,moderate,12.0,0.1,120.0,48,0,0.0,True,low-contrast
7,0.5,3.0,5.0,moderate,12.0,0.1,120.0,48,0,0.0,True,low-contrast
8,0.5,3.0,5.0,moderate,12.0,0.1,120.0,48,0,0.0,True,low-contrast
9,0.5,3.0,5.0,moderate,12.0,0.1,120.0,48,0,0.0,True,low-contrast
10,0.5,3.0,5.0,moderate,12.0,0.1,120.0,48,0,0.0,True,low-contrast
1,0.5,3.0,5.0,high,12.0,0.2,60.0,48,0,0.0,True,low-contrast
2,0.5,3.0,5.0,high,12.0,0.2,60.0,48,0,0.0,True,low-contrast
3,0.5,3.0,5.0,high,12.0,0.2,60.0,48,0,0.0,True,low-contrast
4,0.5,3.0,5.0,high,12.0,0.2,60.0,48,0,0.0,True,low-contrast
5,0.5,3.0,5.0,high,12.0,0.2,60.0,48,0,0.0,True,low-contrast
6,0.5,3.0,5.0,high,12.0,0.2,60.0,48,0,0.0,True,low-contrast
7,0.5,3.0,5.0,high,12.0,0.2,60.0,48,0,0.0,True,low-contrast
8,0.5,3.0,5.0,high,12.0,0.2,60.0,48,0,0.0,True,low-contrast
9,0.5,3.0,5.0,high,12.0,0.2,60.0,48,0,0.0,True,low-contrast
10,0.5,3.0,5.0,high,12.0,0.2,60.0,48,0,0.0,True,low-contrast
1,0.5,3.0,10.0,quiet,12.0,0.05656854249492381,212.13203435596424,48,0,0.0,True,low-contrast
2,0.5,3.0,10.0,quiet,12.0,0.05656854249492381,212.13203435596424,48,0,0.0,True,low-contrast
3,0.5,3.0,10.0,quiet,12.0,0.05656854249492381,212.13203435596424,48,0,0.0,True,low-contrast
4,0.5,3.0,10.0,quiet,12.0,0.05656854249492381,212.13203435596424,48,0,0.0,True,low-contrast
5,0.5,3.0,10.0,quiet,12.0,0.05656854249492381,212.13203435596424,48,0,0.0,True,low-contrast
6,0.5,3.0,10.0,quiet,12.0,0.05656854249492381,212.13203435596424,48,0,0.0,True,low-contrast
7,0.5,3.0,10.0,quiet,12.0,0.05656854249492381,212.13203435596424,48,0,0.0,True,low-contrast
8,0.5,3.0,10.0,quiet,12.0,0.05656854249492381,212.13203435596424,48,0,0.0,True,low-contrast
9,0.5,3.0,10.0,quiet,12.0,0.05656854249492381,212.13203435596424,48,0,0.0,True,low-contrast
10,0.5,3.0,10.0,quiet,12.0,0.05656854249492381,212.13203435596424,48,0,0.0,True,low-contrast
1,0.5,3.0,10.0,moderate,12.0,0.14142135623730953,84.85281374238569,48,0,0.0,True,low-contrast
2,0.5,3.0,10.0,moderate,12.0,0.14142135623730953,84.85281374238569,48,0,0.0,True,low-contrast
3,0.5,3.0,10.0,moderate,12.0,0.14142135623730953,84.85281374238569,48,0,0.0,True,low-contrast
4,0.5,3.0,10.0,moderate,12.0,0.14142135623730953,84.85281374238569,48,0,0.0,True,low-contrast
5,0.5,3.0,10.0,moderate,12.0,0.14142135623730953,84.85281374238569,48,0,0.0,True,low-contrast
6,0.5,3.0,10.0,moderate,12.0,0.14142135623730953,84.85281374238569,48,0,0.0,True,low-contrast
7,0.5,3.0,10.0,moderate,12.0,0.14142135623730953,84.85281374238569,48,0,0.0,True,low-contrast
8,0.5,3.0,10.0,moderate,12.0,0.14142135623730953,84.85281374238569,48,0,0.0,True,low-contrast
